frame_no,image_anomaly,component,component_anomaly,image_fullname,se_filenmae,colors_found,colors_in_component,time_load_t,time_component_t,time_full_t,time_load_total_dt,time_component_total_dt,time_full_dt
0006,NORMAL,ConvBelt,NORMAL,1751540058609105900_0006_10000010000000000,1751540058627141900_0006_10000010000000000,16,12,0.08135843276977539,0.035680532455444336,0.11703896522521973,0:00:00.081359,0:00:00.035681,0:00:00.117040
0006,NORMAL,PRight,NORMAL,1751540058609105900_0006_10000010000000000,1751540058627141900_0006_10000010000000000,16,12,0.08135843276977539,0.03326272964477539,0.11462116241455078,0:00:00.081359,0:00:00.033263,0:00:00.114622
0006,NORMAL,RoboArm,NORMAL,1751540058609105900_0006_10000010000000000,1751540058627141900_0006_10000010000000000,16,12,0.08135843276977539,0.04199028015136719,0.12334871292114258,0:00:00.081359,0:00:00.041990,0:00:00.123349
0007,NORMAL,PLeft,NORMAL,1751540058800234600_0007_10000010000000000,1751540058818473900_0007_10000010000000000,16,10,0.0783853530883789,0.048383474349975586,0.1267688274383545,0:00:00.078386,0:00:00.048383,0:00:00.126769
0007,NORMAL,ConvBelt,NORMAL,1751540058800234600_0007_10000010000000000,1751540058818473900_0007_10000010000000000,16,12,0.0783853530883789,0.03836679458618164,0.11675214767456055,0:00:00.078386,0:00:00.038367,0:00:00.116753
0007,NORMAL,PRight,NORMAL,1751540058800234600_0007_10000010000000000,1751540058818473900_0007_10000010000000000,16,12,0.0783853530883789,0.03912687301635742,0.11751222610473633,0:00:00.078386,0:00:00.039126,0:00:00.117512
0007,NORMAL,RoboArm,NORMAL,1751540058800234600_0007_10000010000000000,1751540058818473900_0007_10000010000000000,16,12,0.0783853530883789,0.03209567070007324,0.11048102378845215,0:00:00.078386,0:00:00.032095,0:00:00.110481
0008,NORMAL,PLeft,NORMAL,1751540059029175700_0008_10000010000000000,1751540059016306100_0008_10000010000000000,16,10,0.0737764835357666,0.03868985176086426,0.11246633529663086,0:00:00.073777,0:00:00.038690,0:00:00.112467
0008,NORMAL,ConvBelt,NORMAL,1751540059029175700_0008_10000010000000000,1751540059016306100_0008_10000010000000000,16,12,0.0737764835357666,0.0417025089263916,0.1154789924621582,0:00:00.073777,0:00:00.041703,0:00:00.115480
0008,NORMAL,PRight,NORMAL,1751540059029175700_0008_10000010000000000,1751540059016306100_0008_10000010000000000,16,12,0.0737764835357666,0.0438685417175293,0.1176450252532959,0:00:00.073777,0:00:00.043869,0:00:00.117646
0008,NORMAL,RoboArm,NORMAL,1751540059029175700_0008_10000010000000000,1751540059016306100_0008_10000010000000000,16,12,0.0737764835357666,0.037528276443481445,0.11130475997924805,0:00:00.073777,0:00:00.037528,0:00:00.111305
0009,NORMAL,PLeft,NORMAL,1751540059223283700_0009_10000010000000000,1751540059230373700_0009_10000010000000000,16,10,0.07513689994812012,0.029834508895874023,0.10497140884399414,0:00:00.075137,0:00:00.029834,0:00:00.104971
0009,NORMAL,ConvBelt,NORMAL,1751540059223283700_0009_10000010000000000,1751540059230373700_0009_10000010000000000,16,12,0.07513689994812012,0.02986931800842285,0.10500621795654297,0:00:00.075137,0:00:00.029870,0:00:00.105007
0009,NORMAL,PRight,NORMAL,1751540059223283700_0009_10000010000000000,1751540059230373700_0009_10000010000000000,16,12,0.07513689994812012,0.03373003005981445,0.10886693000793457,0:00:00.075137,0:00:00.033730,0:00:00.108867
0009,NORMAL,RoboArm,NORMAL,1751540059223283700_0009_10000010000000000,1751540059230373700_0009_10000010000000000,16,12,0.07513689994812012,0.038751840591430664,0.11388874053955078,0:00:00.075137,0:00:00.038752,0:00:00.113889
0010,NORMAL,PLeft,NORMAL,1751540059428055700_0010_10000010000000000,1751540059439015500_0010_10000010000000000,16,10,0.08066844940185547,0.03800773620605469,0.11867618560791016,0:00:00.080669,0:00:00.038008,0:00:00.118677
0010,NORMAL,ConvBelt,NORMAL,1751540059428055700_0010_10000010000000000,1751540059439015500_0010_10000010000000000,16,12,0.08066844940185547,0.04187774658203125,0.12254619598388672,0:00:00.080669,0:00:00.041878,0:00:00.122547
0010,NORMAL,PRight,NORMAL,1751540059428055700_0010_10000010000000000,1751540059439015500_0010_10000010000000000,16,12,0.08066844940185547,0.036559343338012695,0.11722779273986816,0:00:00.080669,0:00:00.036560,0:00:00.117229
0010,NORMAL,RoboArm,NORMAL,1751540059428055700_0010_10000010000000000,1751540059439015500_0010_10000010000000000,16,12,0.08066844940185547,0.0339350700378418,0.11460351943969727,0:00:00.080669,0:00:00.033935,0:00:00.114604
0011,NORMAL,PLeft,NORMAL,1751540059624847000_0011_10000010000000000,1751540059631688300_0011_10000010000000000,16,10,0.08494329452514648,0.03229546546936035,0.11723875999450684,0:00:00.084943,0:00:00.032296,0:00:00.117239
0011,NORMAL,ConvBelt,NORMAL,1751540059624847000_0011_10000010000000000,1751540059631688300_0011_10000010000000000,16,12,0.08494329452514648,0.043453216552734375,0.12839651107788086,0:00:00.084943,0:00:00.043453,0:00:00.128396
0011,NORMAL,PRight,NORMAL,1751540059624847000_0011_10000010000000000,1751540059631688300_0011_10000010000000000,16,12,0.08494329452514648,0.03589773178100586,0.12084102630615234,0:00:00.084943,0:00:00.035898,0:00:00.120841
0011,NORMAL,RoboArm,NORMAL,1751540059624847000_0011_10000010000000000,1751540059631688300_0011_10000010000000000,16,12,0.08494329452514648,0.027110576629638672,0.11205387115478516,0:00:00.084943,0:00:00.027110,0:00:00.112053
0012,NORMAL,PLeft,NORMAL,1751540059814505000_0012_10000010000000000,1751540059835659500_0012_10000010000000000,17,10,0.08974456787109375,0.03590822219848633,0.12565279006958008,0:00:00.089745,0:00:00.035908,0:00:00.125653
0012,NORMAL,ConvBelt,NORMAL,1751540059814505000_0012_10000010000000000,1751540059835659500_0012_10000010000000000,17,12,0.08974456787109375,0.040799617767333984,0.13054418563842773,0:00:00.089745,0:00:00.040800,0:00:00.130545
0012,NORMAL,PRight,NORMAL,1751540059814505000_0012_10000010000000000,1751540059835659500_0012_10000010000000000,17,12,0.08974456787109375,0.03318500518798828,0.12292957305908203,0:00:00.089745,0:00:00.033185,0:00:00.122930
0012,NORMAL,RoboArm,NORMAL,1751540059814505000_0012_10000010000000000,1751540059835659500_0012_10000010000000000,17,13,0.08974456787109375,0.0375974178314209,0.12734198570251465,0:00:00.089745,0:00:00.037597,0:00:00.127342
0013,NORMAL,PLeft,NORMAL,1751540060008506100_0013_10000010000000000,1751540060026495200_0013_10000010000000000,17,10,0.09020686149597168,0.03136801719665527,0.12157487869262695,0:00:00.090207,0:00:00.031368,0:00:00.121575
0013,NORMAL,ConvBelt,NORMAL,1751540060008506100_0013_10000010000000000,1751540060026495200_0013_10000010000000000,17,12,0.09020686149597168,0.036685943603515625,0.1268928050994873,0:00:00.090207,0:00:00.036686,0:00:00.126893
0013,NORMAL,PRight,NORMAL,1751540060008506100_0013_10000010000000000,1751540060026495200_0013_10000010000000000,17,12,0.09020686149597168,0.03960609436035156,0.12981295585632324,0:00:00.090207,0:00:00.039606,0:00:00.129813
0013,NORMAL,RoboArm,NORMAL,1751540060008506100_0013_10000010000000000,1751540060026495200_0013_10000010000000000,17,13,0.09020686149597168,0.03905892372131348,0.12926578521728516,0:00:00.090207,0:00:00.039059,0:00:00.129266
0014,NORMAL,PLeft,NORMAL,1751540060214856900_0014_10000010000000000,1751540060228974300_0014_10000010000000000,17,10,0.07288503646850586,0.02525615692138672,0.09814119338989258,0:00:00.072885,0:00:00.025256,0:00:00.098141
0014,NORMAL,ConvBelt,NORMAL,1751540060214856900_0014_10000010000000000,1751540060228974300_0014_10000010000000000,17,12,0.07288503646850586,0.03729557991027832,0.11018061637878418,0:00:00.072885,0:00:00.037295,0:00:00.110180
0014,NORMAL,PRight,NORMAL,1751540060214856900_0014_10000010000000000,1751540060228974300_0014_10000010000000000,17,12,0.07288503646850586,0.029374122619628906,0.10225915908813477,0:00:00.072885,0:00:00.029374,0:00:00.102259
0014,NORMAL,RoboArm,NORMAL,1751540060214856900_0014_10000010000000000,1751540060228974300_0014_10000010000000000,17,13,0.07288503646850586,0.03255867958068848,0.10544371604919434,0:00:00.072885,0:00:00.032559,0:00:00.105444
0015,NORMAL,PLeft,NORMAL,1751540060409564000_0015_10000010000000000,1751540060420792100_0015_10000010000000000,17,10,0.07060527801513672,0.030948400497436523,0.10155367851257324,0:00:00.070606,0:00:00.030948,0:00:00.101554
0015,NORMAL,ConvBelt,NORMAL,1751540060409564000_0015_10000010000000000,1751540060420792100_0015_10000010000000000,17,12,0.07060527801513672,0.0351560115814209,0.10576128959655762,0:00:00.070606,0:00:00.035156,0:00:00.105762
0015,NORMAL,PRight,NORMAL,1751540060409564000_0015_10000010000000000,1751540060420792100_0015_10000010000000000,17,12,0.07060527801513672,0.027603626251220703,0.09820890426635742,0:00:00.070606,0:00:00.027604,0:00:00.098210
0015,NORMAL,RoboArm,NORMAL,1751540060409564000_0015_10000010000000000,1751540060420792100_0015_10000010000000000,17,13,0.07060527801513672,0.03293657302856445,0.10354185104370117,0:00:00.070606,0:00:00.032936,0:00:00.103542
0016,NORMAL,PLeft,NORMAL,1751540060643014300_0016_10000010000000000,1751540060636417500_0016_10000010000000000,17,10,0.06783699989318848,0.03466463088989258,0.10250163078308105,0:00:00.067837,0:00:00.034665,0:00:00.102502
0016,NORMAL,ConvBelt,NORMAL,1751540060643014300_0016_10000010000000000,1751540060636417500_0016_10000010000000000,17,12,0.06783699989318848,0.03504443168640137,0.10288143157958984,0:00:00.067837,0:00:00.035044,0:00:00.102881
0016,NORMAL,PRight,NORMAL,1751540060643014300_0016_10000010000000000,1751540060636417500_0016_10000010000000000,17,12,0.06783699989318848,0.02914261817932129,0.09697961807250977,0:00:00.067837,0:00:00.029143,0:00:00.096980
0016,NORMAL,RoboArm,NORMAL,1751540060643014300_0016_10000010000000000,1751540060636417500_0016_10000010000000000,17,12,0.06783699989318848,0.02458357810974121,0.09242057800292969,0:00:00.067837,0:00:00.024583,0:00:00.092420
0017,NORMAL,PLeft,NORMAL,1751540060816759600_0017_10000010000000000,1751540060817296700_0017_10000010000000000,17,10,0.07842159271240234,0.02403426170349121,0.10245585441589355,0:00:00.078421,0:00:00.024034,0:00:00.102455
0017,NORMAL,ConvBelt,NORMAL,1751540060816759600_0017_10000010000000000,1751540060817296700_0017_10000010000000000,17,12,0.07842159271240234,0.042177677154541016,0.12059926986694336,0:00:00.078421,0:00:00.042177,0:00:00.120598
0017,NORMAL,PRight,NORMAL,1751540060816759600_0017_10000010000000000,1751540060817296700_0017_10000010000000000,17,12,0.07842159271240234,0.036504507064819336,0.11492609977722168,0:00:00.078421,0:00:00.036505,0:00:00.114926
0017,NORMAL,RoboArm,NORMAL,1751540060816759600_0017_10000010000000000,1751540060817296700_0017_10000010000000000,17,12,0.07842159271240234,0.028293609619140625,0.10671520233154297,0:00:00.078421,0:00:00.028294,0:00:00.106715
0018,NORMAL,PLeft,NORMAL,1751540061010172600_0018_10000010000000000,1751540061028627100_0018_10000010000000000,17,10,0.06999325752258301,0.027113676071166992,0.09710693359375,0:00:00.069993,0:00:00.027114,0:00:00.097107
0018,NORMAL,ConvBelt,NORMAL,1751540061010172600_0018_10000010000000000,1751540061028627100_0018_10000010000000000,17,12,0.06999325752258301,0.03439617156982422,0.10438942909240723,0:00:00.069993,0:00:00.034397,0:00:00.104390
0018,NORMAL,PRight,NORMAL,1751540061010172600_0018_10000010000000000,1751540061028627100_0018_10000010000000000,17,12,0.06999325752258301,0.03210902214050293,0.10210227966308594,0:00:00.069993,0:00:00.032109,0:00:00.102102
0018,NORMAL,RoboArm,NORMAL,1751540061010172600_0018_10000010000000000,1751540061028627100_0018_10000010000000000,17,12,0.06999325752258301,0.0360713005065918,0.1060645580291748,0:00:00.069993,0:00:00.036071,0:00:00.106064
0019,NORMAL,PLeft,NORMAL,1751540061220476200_0019_10000010000000000,1751540061235252500_0019_10000010000000000,17,10,0.06632018089294434,0.02980518341064453,0.09612536430358887,0:00:00.066320,0:00:00.029805,0:00:00.096125
0019,NORMAL,ConvBelt,NORMAL,1751540061220476200_0019_10000010000000000,1751540061235252500_0019_10000010000000000,17,12,0.06632018089294434,0.035738229751586914,0.10205841064453125,0:00:00.066320,0:00:00.035738,0:00:00.102058
0019,NORMAL,PRight,NORMAL,1751540061220476200_0019_10000010000000000,1751540061235252500_0019_10000010000000000,17,12,0.06632018089294434,0.050704240798950195,0.11702442169189453,0:00:00.066320,0:00:00.050704,0:00:00.117024
0019,NORMAL,RoboArm,NORMAL,1751540061220476200_0019_10000010000000000,1751540061235252500_0019_10000010000000000,17,12,0.06632018089294434,0.038001298904418945,0.10432147979736328,0:00:00.066320,0:00:00.038002,0:00:00.104322
0020,NORMAL,PLeft,NORMAL,1751540061432064900_0020_10000010000000000,1751540061423200900_0020_10000010000000000,18,10,0.06700015068054199,0.02552318572998047,0.09252333641052246,0:00:00.066999,0:00:00.025524,0:00:00.092523
0020,NORMAL,ConvBelt,NORMAL,1751540061432064900_0020_10000010000000000,1751540061423200900_0020_10000010000000000,18,12,0.06700015068054199,0.03519439697265625,0.10219454765319824,0:00:00.066999,0:00:00.035194,0:00:00.102193
0020,NORMAL,PRight,NORMAL,1751540061432064900_0020_10000010000000000,1751540061423200900_0020_10000010000000000,18,12,0.06700015068054199,0.03878521919250488,0.10578536987304688,0:00:00.066999,0:00:00.038785,0:00:00.105784
0020,NORMAL,RoboArm,NORMAL,1751540061432064900_0020_10000010000000000,1751540061423200900_0020_10000010000000000,18,13,0.06700015068054199,0.03461909294128418,0.10161924362182617,0:00:00.066999,0:00:00.034619,0:00:00.101618
0021,NORMAL,PLeft,NORMAL,1751540061614705100_0021_10000010000000000,1751540061628750100_0021_10000010000000000,18,10,0.07338070869445801,0.02583789825439453,0.09921860694885254,0:00:00.073381,0:00:00.025838,0:00:00.099219
0021,NORMAL,ConvBelt,NORMAL,1751540061614705100_0021_10000010000000000,1751540061628750100_0021_10000010000000000,18,12,0.07338070869445801,0.03133511543273926,0.10471582412719727,0:00:00.073381,0:00:00.031335,0:00:00.104716
0021,NORMAL,PRight,NORMAL,1751540061614705100_0021_10000010000000000,1751540061628750100_0021_10000010000000000,18,12,0.07338070869445801,0.04152512550354004,0.11490583419799805,0:00:00.073381,0:00:00.041525,0:00:00.114906
0021,NORMAL,RoboArm,NORMAL,1751540061614705100_0021_10000010000000000,1751540061628750100_0021_10000010000000000,18,13,0.07338070869445801,0.03136420249938965,0.10474491119384766,0:00:00.073381,0:00:00.031364,0:00:00.104745
0022,NORMAL,PLeft,NORMAL,1751540061805328200_0022_10000010000000000,1751540061824307800_0022_10000010000000000,18,10,0.07477951049804688,0.033455610275268555,0.10823512077331543,0:00:00.074780,0:00:00.033455,0:00:00.108235
0022,NORMAL,ConvBelt,NORMAL,1751540061805328200_0022_10000010000000000,1751540061824307800_0022_10000010000000000,18,12,0.07477951049804688,0.03327226638793945,0.10805177688598633,0:00:00.074780,0:00:00.033272,0:00:00.108052
0022,NORMAL,PRight,NORMAL,1751540061805328200_0022_10000010000000000,1751540061824307800_0022_10000010000000000,18,15,0.07477951049804688,0.03475022315979004,0.10952973365783691,0:00:00.074780,0:00:00.034750,0:00:00.109530
0022,NORMAL,RoboArm,NORMAL,1751540061805328200_0022_10000010000000000,1751540061824307800_0022_10000010000000000,18,13,0.07477951049804688,0.03261756896972656,0.10739707946777344,0:00:00.074780,0:00:00.032618,0:00:00.107398
0023,NORMAL,PLeft,NORMAL,1751540062011394200_0023_10000010000000000,1751540062024995500_0023_10000010000000000,17,10,0.07321667671203613,0.03788495063781738,0.11110162734985352,0:00:00.073217,0:00:00.037885,0:00:00.111102
0023,NORMAL,ConvBelt,NORMAL,1751540062011394200_0023_10000010000000000,1751540062024995500_0023_10000010000000000,17,12,0.07321667671203613,0.03330039978027344,0.10651707649230957,0:00:00.073217,0:00:00.033300,0:00:00.106517
0023,NORMAL,PRight,NORMAL,1751540062011394200_0023_10000010000000000,1751540062024995500_0023_10000010000000000,17,15,0.07321667671203613,0.03342318534851074,0.10663986206054688,0:00:00.073217,0:00:00.033423,0:00:00.106640
0023,NORMAL,RoboArm,NORMAL,1751540062011394200_0023_10000010000000000,1751540062024995500_0023_10000010000000000,17,12,0.07321667671203613,0.029352903366088867,0.102569580078125,0:00:00.073217,0:00:00.029353,0:00:00.102570
0024,NORMAL,PLeft,NORMAL,1751540062229871900_0024_10000010000000000,1751540062237833500_0024_10000010000000000,17,10,0.06934356689453125,0.03184366226196289,0.10118722915649414,0:00:00.069344,0:00:00.031843,0:00:00.101187
0024,NORMAL,ConvBelt,NORMAL,1751540062229871900_0024_10000010000000000,1751540062237833500_0024_10000010000000000,17,12,0.06934356689453125,0.037804603576660156,0.1071481704711914,0:00:00.069344,0:00:00.037805,0:00:00.107149
0024,NORMAL,PRight,NORMAL,1751540062229871900_0024_10000010000000000,1751540062237833500_0024_10000010000000000,17,15,0.06934356689453125,0.031336307525634766,0.10067987442016602,0:00:00.069344,0:00:00.031336,0:00:00.100680
0024,NORMAL,RoboArm,NORMAL,1751540062229871900_0024_10000010000000000,1751540062237833500_0024_10000010000000000,17,12,0.06934356689453125,0.025954246520996094,0.09529781341552734,0:00:00.069344,0:00:00.025954,0:00:00.095298
0025,NORMAL,PLeft,NORMAL,1751540062408105100_0025_10000010000000000,1751540062424660800_0025_10000010000000000,17,10,0.07107162475585938,0.0290372371673584,0.10010886192321777,0:00:00.071072,0:00:00.029037,0:00:00.100109
0025,NORMAL,ConvBelt,NORMAL,1751540062408105100_0025_10000010000000000,1751540062424660800_0025_10000010000000000,17,12,0.07107162475585938,0.03526163101196289,0.10633325576782227,0:00:00.071072,0:00:00.035261,0:00:00.106333
0025,NORMAL,PRight,NORMAL,1751540062408105100_0025_10000010000000000,1751540062424660800_0025_10000010000000000,17,15,0.07107162475585938,0.0374598503112793,0.10853147506713867,0:00:00.071072,0:00:00.037460,0:00:00.108532
0025,NORMAL,RoboArm,NORMAL,1751540062408105100_0025_10000010000000000,1751540062424660800_0025_10000010000000000,17,12,0.07107162475585938,0.04623103141784668,0.11730265617370605,0:00:00.071072,0:00:00.046231,0:00:00.117303
0026,NORMAL,PLeft,NORMAL,1751540062616509200_0026_10000010000000000,1751540062632445600_0026_10000010000000000,16,10,0.06966447830200195,0.03633427619934082,0.10599875450134277,0:00:00.069665,0:00:00.036334,0:00:00.105999
0026,NORMAL,ConvBelt,NORMAL,1751540062616509200_0026_10000010000000000,1751540062632445600_0026_10000010000000000,16,12,0.06966447830200195,0.041759490966796875,0.11142396926879883,0:00:00.069665,0:00:00.041759,0:00:00.111424
0026,NORMAL,PRight,NORMAL,1751540062616509200_0026_10000010000000000,1751540062632445600_0026_10000010000000000,16,12,0.06966447830200195,0.026622533798217773,0.09628701210021973,0:00:00.069665,0:00:00.026623,0:00:00.096288
0026,NORMAL,RoboArm,NORMAL,1751540062616509200_0026_10000010000000000,1751540062632445600_0026_10000010000000000,16,9,0.06966447830200195,0.029317617416381836,0.09898209571838379,0:00:00.069665,0:00:00.029318,0:00:00.098983
0027,NORMAL,PLeft,NORMAL,1751540062846659400_0027_10000010000000000,1751540062846819900_0027_10000010000000000,16,10,0.07087492942810059,0.03318500518798828,0.10405993461608887,0:00:00.070875,0:00:00.033185,0:00:00.104060
0027,NORMAL,ConvBelt,NORMAL,1751540062846659400_0027_10000010000000000,1751540062846819900_0027_10000010000000000,16,12,0.07087492942810059,0.0393831729888916,0.11025810241699219,0:00:00.070875,0:00:00.039383,0:00:00.110258
0027,NORMAL,PRight,NORMAL,1751540062846659400_0027_10000010000000000,1751540062846819900_0027_10000010000000000,16,12,0.07087492942810059,0.0397334098815918,0.11060833930969238,0:00:00.070875,0:00:00.039734,0:00:00.110609
0027,NORMAL,RoboArm,NORMAL,1751540062846659400_0027_10000010000000000,1751540062846819900_0027_10000010000000000,16,9,0.07087492942810059,0.02656102180480957,0.09743595123291016,0:00:00.070875,0:00:00.026561,0:00:00.097436
0028,NORMAL,PLeft,NORMAL,1751540063025233400_0028_10000010000000000,1751540063042382400_0028_10000010000000000,16,10,0.06261515617370605,0.036728858947753906,0.09934401512145996,0:00:00.062615,0:00:00.036728,0:00:00.099343
0028,NORMAL,ConvBelt,NORMAL,1751540063025233400_0028_10000010000000000,1751540063042382400_0028_10000010000000000,16,12,0.06261515617370605,0.03902006149291992,0.10163521766662598,0:00:00.062615,0:00:00.039020,0:00:00.101635
0028,NORMAL,PRight,NORMAL,1751540063025233400_0028_10000010000000000,1751540063042382400_0028_10000010000000000,16,12,0.06261515617370605,0.03898787498474121,0.10160303115844727,0:00:00.062615,0:00:00.038989,0:00:00.101604
0028,NORMAL,RoboArm,NORMAL,1751540063025233400_0028_10000010000000000,1751540063042382400_0028_10000010000000000,16,9,0.06261515617370605,0.024811506271362305,0.08742666244506836,0:00:00.062615,0:00:00.024811,0:00:00.087426
0029,NORMAL,PLeft,NORMAL,1751540063227463300_0029_10000010000000000,1751540063230194100_0029_10000010000000000,16,10,0.07347345352172852,0.03022027015686035,0.10369372367858887,0:00:00.073473,0:00:00.030220,0:00:00.103693
0029,NORMAL,ConvBelt,NORMAL,1751540063227463300_0029_10000010000000000,1751540063230194100_0029_10000010000000000,16,12,0.07347345352172852,0.03504347801208496,0.10851693153381348,0:00:00.073473,0:00:00.035043,0:00:00.108516
0029,NORMAL,PRight,NORMAL,1751540063227463300_0029_10000010000000000,1751540063230194100_0029_10000010000000000,16,12,0.07347345352172852,0.03198361396789551,0.10545706748962402,0:00:00.073473,0:00:00.031984,0:00:00.105457
0029,NORMAL,RoboArm,NORMAL,1751540063227463300_0029_10000010000000000,1751540063230194100_0029_10000010000000000,16,9,0.07347345352172852,0.02835988998413086,0.10183334350585938,0:00:00.073473,0:00:00.028360,0:00:00.101833
